From,Name,Size,Instance Complexity,Optimal Found CF,Optimal Found PPM+MAN,Optimal Found PPM+CF,Optimal Found CF+0.25*PPM,Optimal Found CF+0.50*PPM,Optimal Found CF+0.75*PPM,Optimal Found CF+1*PPM,Optimal Found CF/PPM,Predicted Path Length CF,Predicted Path Length PPM+MAN,Predicted Path Length PPM+CF,Predicted Path Length CF+0.25*PPM,Predicted Path Length CF+0.50*PPM,Predicted Path Length CF+0.75*PPM,Predicted Path Length CF+1*PPM,Predicted Path Length CF/PPM,Ground Truth Path Length,Manhattan Path Length,Expansion CF,Expansion PPM+MAN,Expansion PPM+CF,Expansion CF+0.25*PPM,Expansion CF+0.50*PPM,Expansion CF+0.75*PPM,Expansion CF+1*PPM,Expansion CF/PPM,Expansion GT,Expansion Manhattan,Run Time CF,Run Time PPM+MAN,Run Time PPM+CF,Run Time Manhattan,Run Time CF+0.25*PPM,Run Time CF+0.50*PPM,Run Time CF+0.75*PPM,Run Time CF+1*PPM,Run Time CF/PPM,Run Time Inference CF,Run Time Inference PPM
street,Berlin_1_512.png,300x300,1.0588235294117647,0,0,0,0,0,0,0,0,290,312,312,278,278,276,276,292,270,268,483,2917,2823,526,494,591,639,329,270,8142,70.51920890808105,1364.4561767578125,1307.976484298706,968.2526588439941,68.5272216796875,57.515859603881836,69.99826431274414,90.52491188049316,67.52824783325195,1401.3116359710693,1362.2708320617676
street,Berlin_2_1024.png,300x300,1.5534883720930233,0,0,0,0,0,0,0,0,374,396,432,372,376,384,394,400,334,334,5333,10163,8850,5698,6011,6291,6351,3116,334,16852,716.6216373443604,8616.834163665771,6763.869047164917,1758.1043243408203,590.1651382446289,640.6912803649902,657.1178436279297,676.1665344238281,327.5799751281738,2282.1872234344482,1670.9203720092773
street,Berlin_2_512.png,300x300,1.407216494845361,0,0,0,0,0,0,0,0,311,355,325,315,317,317,317,331,273,273,2844,7152,3387,3193,3242,3240,3336,1639,273,10826,359.0273857116699,4508.414268493652,1614.3932342529297,1036.168098449707,343.65367889404297,348.1125831604004,347.4993705749512,352.0827293395996,183.27856063842773,1402.8992652893066,1214.3311500549316
street,Boston_0_1024.png,300x300,1.028225806451613,0,0,0,0,0,0,0,0,267,379,377,295,265,265,271,311,255,255,469,5198,5091,986,513,514,536,466,255,6696,63.515424728393555,6466.725826263428,5286.322593688965,582.3330879211426,108.56413841247559,58.97378921508789,55.54389953613281,64.03684616088867,63.526153564453125,1451.4658451080322,1210.2994918823242
street,Boston_0_256.png,256x256,1.8208955223880596,0,0,0,0,0,0,0,0,376,446,466,376,376,376,378,396,366,366,2697,8807,8547,2661,2662,2668,2702,1788,366,8295,356.4038276672363,8694.236040115356,8983.23392868042,750.4374980926514,317.57664680480957,304.1360378265381,321.60234451293945,305.53483963012695,196.04921340942383,810.7497692108154,936.3653659820557
street,Boston_0_512.png,300x300,1.0050761421319796,0,0,0,0,0,0,0,0,206,234,234,202,216,210,208,206,198,198,224,2744,2779,238,533,512,543,218,198,1212,41.52417182922363,1594.7084426879883,1637.4571323394775,94.51961517333984,28.513669967651367,61.9359016418457,52.51502990722656,57.012081146240234,28.5189151763916,1655.4181575775146,1685.215950012207
street,Boston_1_1024.png,300x300,1.0429447852760736,0,0,0,0,100,100,100,0,168,198,198,168,170,170,170,168,170,168,180,1647,1761,203,251,302,384,172,170,5102,39.998531341552734,504.29296493530273,553.0605316162109,767.8937911987305,21.508455276489258,27.001380920410156,32.99856185913086,39.520978927612305,20.445585250854492,1481.8713665008545,1189.2790794372559
street,Boston_1_256.png,256x256,1.0083333333333333,100,0,0,100,100,100,100,100,121,123,123,121,121,121,121,121,121,121,133,316,316,142,154,158,162,122,121,3073,19.001007080078125,92.53406524658203,101.51815414428711,245.58329582214355,16.00050926208496,19.99831199645996,18.000364303588867,20.046710968017578,14.512300491333008,796.8780994415283,892.9016590118408
street,Boston_1_512.png,300x300,1.005181347150259,0,0,0,100,100,100,100,0,224,260,260,194,194,194,194,238,194,194,284,1959,1670,209,247,270,290,254,194,3147,51.00536346435547,779.3567180633545,577.1465301513672,255.53178787231445,24.98459815979004,29.013633728027344,29.51955795288086,36.99803352355957,36.209821701049805,1429.4157028198242,1256.9527626037598
street,Boston_2_1024.png,300x300,1.010204081632653,0,0,0,0,0,0,0,0,101,127,127,103,103,103,103,189,99,99,151,862,881,152,165,190,209,604,99,182,18.999338150024414,241.03689193725586,262.5694274902344,13.953447341918945,16.99972152709961,22.851943969726562,21.165132522583008,22.382020950317383,64.00465965270996,1484.8175048828125,1226.3174057006836
street,Boston_2_256.png,256x256,1.005181347150259,0,0,0,0,0,0,0,0,200,284,286,208,206,208,206,202,194,194,211,3162,3327,280,287,315,368,203,194,284,36.520957946777344,1831.7053318023682,2019.9534893035889,25.008678436279297,34.99627113342285,32.51767158508301,34.99889373779297,39.00027275085449,26.722431182861328,818.1982040405273,761.254072189331
street,Boston_2_512.png,300x300,1.2058823529411764,100,0,0,100,100,100,0,100,123,147,147,123,123,123,127,123,123,123,232,866,812,288,317,334,271,151,123,1540,27.004241943359375,245.56279182434082,207.02290534973145,126.5559196472168,29.9832820892334,35.53128242492676,41.0008430480957,28.000831604003906,17.00901985168457,1527.8677940368652,1201.3132572174072
street,Denver_0_1024.png,300x300,1.008849557522124,100,0,0,100,100,100,100,100,114,164,164,114,114,114,114,114,114,114,114,1330,1338,122,126,126,140,114,114,1257,21.997928619384766,432.07359313964844,401.58915519714355,98.51217269897461,15.004634857177734,15.030860900878906,14.966726303100586,16.533374786376953,13.002872467041016,1378.0438899993896,1230.9467792510986
street,Denver_0_256.png,256x256,1.0035971223021583,0,0,0,0,0,0,0,0,297,343,343,315,307,311,315,343,279,279,727,2997,2968,1056,1074,1144,1217,535,279,7645,91.51434898376465,1298.912525177002,1293.736457824707,594.0835475921631,124.51314926147461,114.50982093811035,117.9962158203125,127.532958984375,61.031341552734375,801.1844158172607,819.1719055175781
street,Denver_0_512.png,300x300,1.0053191489361701,100,0,0,100,100,100,100,100,189,257,257,189,189,189,189,189,189,189,189,2786,2681,201,223,239,259,189,189,5159,31.99601173400879,1262.4011039733887,1282.5136184692383,405.12704849243164,23.00405502319336,30.8840274810791,29.033899307250977,29.000520706176758,21.538496017456055,1430.361270904541,1168.2918071746826
street,Denver_1_1024.png,300x300,1.0055248618784531,100,0,0,0,0,0,0,100,182,292,292,186,186,186,190,182,182,182,185,3385,3377,195,197,212,245,182,182,182,27.00638771057129,2216.3102626800537,2348.5448360443115,15.002727508544922,23.003816604614258,22.546052932739258,25.969743728637695,27.002334594726562,21.006345748901367,1450.352430343628,1142.9047584533691
street,Denver_1_256.png,256x256,1.0447154471544715,0,0,0,0,0,0,0,0,275,285,285,311,281,281,281,277,257,257,807,4922,4860,1785,1778,1681,1679,498,257,10787,87.51416206359863,3838.918924331665,3914.5336151123047,1051.9089698791504,260.0553035736084,176.02777481079102,185.0876808166504,173.0785369873047,56.99944496154785,671.6368198394775,846.2233543395996
street,Denver_1_512.png,300x300,1.0188679245283019,0,0,0,0,0,0,0,0,278,302,302,274,274,276,274,278,270,268,395,4599,4373,381,376,383,398,311,270,9748,64.00251388549805,4296.092987060547,3843.9998626708984,763.6897563934326,41.5492057800293,40.99845886230469,45.5625057220459,42.994022369384766,39.00909423828125,1462.3303413391113,1219.3613052368164
street,Denver_2_1024.png,300x300,1.003058103975535,0,0,0,0,0,0,100,0,340,434,434,344,332,334,328,346,328,328,471,3032,3117,773,500,512,542,419,328,14333,80.51109313964844,2347.8524684906006,2607.412815093994,1108.790636062622,80.00302314758301,55.509090423583984,54.51178550720215,65.09065628051758,48.44164848327637,1442.21830368042,1234.4121932983398
